app_name,category,number_of_downloads,review_body,reviewer_ratings
Asphalt 8,Racing,high, After octane season I can't play my multiplayer. I can't claim the rewards. It's useless. It sucks! Help me to fix my game.,1
Asphalt 8,Racing,high, i just updated the app and it keeps on crashing by the time i open it.. i have been playing for 3 years and my experience is getting worse. from 5 stars to 1,1
Asphalt 8,Racing,high," It was a good game, i love how fast-pased and skill-based it is, however i experience a problem, where theres error and i can't claim my reward from Octane season, Pls fix it ;-; My username: JamesxD2313",3
Asphalt 8,Racing,high," The game is fun but the only problem is that my coins shows up as -674,560 because i accidentally linked my google play acc to my facebook acc then it removed some of my cars that i bought. Gameloft pls fix this bug",3
Asphalt 8,Racing,high, you have really done well to develop this game and make it way way better than all the other ones that come before it. you have really done well with the backgrounds and i hope you keep it up.,5
Asphalt 8,Racing,high," I like this game ive been playing it for many years it doesnt cause errors and logs and also pls add other new awesome cars like tesla roadster,mclaren gt and also more festivals! Thanks for creating the app 😉",5
Asphalt 8,Racing,high, I uninstall the game.. it's a just rubbish. Last 3 month i play this game. 51 cars i owned. But they just rubbed my cars and credits. Now my credit balance is negative. How dose it possible?? U complain... they did not answer.... just rubbish...,1
Asphalt 8,Racing,high," Nice game i liked the cars, graphics, bike,etc. But they give less money after completing the round or challenge so i gave 4 for this game",4
Asphalt 8,Racing,high, To expensive I have been playing for 5 years. Started spending more money and really enjoy playing but my wife is mad because I have spent over 500 dollars anyway it's my favorite game.,4
Asphalt 8,Racing,high," This game is very amazing, its graphics is very good. But i have only two bikes i want that develop er add bikes in festival event.",5
Asphalt 8,Racing,high," So I came back to this game around 6 years later, not bad but it's still a pay to win type of game, the festival is good because well ""Almost Free Cars"" but I think this game is losing it, and ever since tokens had came it was even more pay to win! And of course fusion points and it's just stupid an...Full ReviewSo I came back to this game around 6 years later, not bad but it's still a pay to win type of game, the festival is good because well ""Almost Free Cars"" but I think this game is losing it, and ever since tokens had came it was even more pay to win! And of course fusion points and it's just stupid and unnecessary to add that, just more funds which makes the game worse, I'm not trying to be offensive or negative but seriously you need to dumb down prices and make it less pay to win.",2
Asphalt 8,Racing,high," The right mix of both difficulties, and joyfulness the game is super fun and exciting to play.",5
Asphalt 8,Racing,high," A small question. Have you asked your commercial customers if they prefer 30-50 seconds ads that nobody watches (personally, I play them when I am in front of TV) or 5-10 seconds ads that players would actually watch?",5
Asphalt 8,Racing,high, Its hard to get money and the game lags when you turn on your data but still the game is pretty awesome when you play without data,4
Asphalt 8,Racing,high, Asphalt 8 is a great game but I think the downloads are huge numbers bcoz it's impossible to transfer it to someone. Can't you fix it??,3
Asphalt 8,Racing,high," I've been playing this since asphalt 3D. I must say, I love everything that it had evolved to.",5
Asphalt 8,Racing,high," Asphalt was a lit game at the beginning, but over the last few years, the best of the game has been deleted. Made things more expensive and added terrible fusion coins. Gameloft, you are just trying to assassinate the game now, but one thing you dont know is that lots of people love it, and you shou...Full ReviewAsphalt was a lit game at the beginning, but over the last few years, the best of the game has been deleted. Made things more expensive and added terrible fusion coins. Gameloft, you are just trying to assassinate the game now, but one thing you dont know is that lots of people love it, and you shouldn't try to make people switch over A9 because it had better controls, so keep the game like it was before, remove fusion coins, and dont kill the game.",2
Asphalt 8,Racing,high," Where is beautiful looking formula car? Where is motorcycle? It seems this game is backdated. Pl. developers produce some formula f1 cars and motorcycles. This game only have 4 motorcycls, so boring. Thanks.",5
Asphalt 8,Racing,high," i love the game but why do you have to get tokens, fusion tokens and credits with real money??????? in a9 you can get credit s by spending tokens",5
Asphalt 8,Racing,high," This has been a great game out of all of the games I have played. I get a new experience on racing everday. I have noticed that all the cars in the game are actually real, except for their real-life speed and acceleration. Only thing, that after the recent update, it has now become harder for everyo...Full ReviewThis has been a great game out of all of the games I have played. I get a new experience on racing everday. I have noticed that all the cars in the game are actually real, except for their real-life speed and acceleration. Only thing, that after the recent update, it has now become harder for everyone to play this game. Can you try to at least restore some of the previous stuff?",4
Asphalt 8,Racing,high, Beautiful graphics with evolving challenges and unique strategy oriented racing game. Adrenaline pumping! Great job guys!,5
Asphalt 8,Racing,high," I consider Asphalt 8 one of the best driving games for mobile. Good graphics, engaging gameplay, and exciting multiplayer make this game enjoyable over and over. In the last year, it is now easier to earn in game currency as well. However, the game sometimes glitches and the car's handling may twitc...Full ReviewI consider Asphalt 8 one of the best driving games for mobile. Good graphics, engaging gameplay, and exciting multiplayer make this game enjoyable over and over. In the last year, it is now easier to earn in game currency as well. However, the game sometimes glitches and the car's handling may twitch, causing random crashes.",4
Asphalt 8,Racing,high, It's good as in the graphics but sometimes I can't purchase the item which need tokens.,4
Asphalt 8,Racing,high," (Tl;dr: I think there's a bug with your ads.) Sometimes when I tap to play an ad for a boost or something, after I watch it doesn't give me the boost and I have to watch another ad before I get it. A couple times I tried to watch an ad to refill my event gas tank thing and will end up in a cycle of ...Full Review(Tl;dr: I think there's a bug with your ads.) Sometimes when I tap to play an ad for a boost or something, after I watch it doesn't give me the boost and I have to watch another ad before I get it. A couple times I tried to watch an ad to refill my event gas tank thing and will end up in a cycle of ads and never getting the refill. Does that make sense?",4
Asphalt 8,Racing,high," It's genuinely a good game but it's so bad at the same. 9/10 times it shows some errors or ""no internet connection"" and I need to restart it every single time! I can't get used to control, and I don't have an option to make button bigger which can improve gameplay. Also sudden knockdowns out of nowh...Full ReviewIt's genuinely a good game but it's so bad at the same. 9/10 times it shows some errors or ""no internet connection"" and I need to restart it every single time! I can't get used to control, and I don't have an option to make button bigger which can improve gameplay. Also sudden knockdowns out of nowhere.. on S10+ textures sometime don't fully load. And there's always a feeling that the fps counter is around 20-30, but I think it all only freezes our something.. all in all..Awful. Could be better.",3
Asphalt 8,Racing,high," Awesome gameplay with super cool wheels!!! It is very easy and a bit addictive. But please award ratings in multiplayer with regard to the vehicle's rank not according to the player's rating. When I'm racing with a player below my league but vehicle's rank above mine, when the race ends and I'm 4th ...Full ReviewAwesome gameplay with super cool wheels!!! It is very easy and a bit addictive. But please award ratings in multiplayer with regard to the vehicle's rank not according to the player's rating. When I'm racing with a player below my league but vehicle's rank above mine, when the race ends and I'm 4th and he's 3rd ,my rating is reduced by 21 points and his increases by 8 points. This is unfair because he's got a better vehicle than mine so I couldn't defeat him and my ratings reduces severely.",5
Asphalt 8,Racing,high," Very greedy little game, Money is the only way to progress with this version of the game. I have this on Windows for many, many years. Spent money but this version is asking for too much more monetary spends. Don't like to have to spend hundreds on Android version, no way near as good as Windows ver...Full ReviewVery greedy little game, Money is the only way to progress with this version of the game. I have this on Windows for many, many years. Spent money but this version is asking for too much more monetary spends. Don't like to have to spend hundreds on Android version, no way near as good as Windows version. Asphalt 8 Android is a greedy cousin of the reserve bank. Good luck if it improves. I has deteriated.Done buy unless deterred by greedy dynamics of game. Beware!",2
Asphalt 8,Racing,high," From past few weeks, the handling of the cars has become worse. Was hoping it will be solved in the next update, but it's the same in the new update aswell. Unable to turn my favourite cars the way I want, as I used to do before. Fusion coins are really a pain in the a**, not able to upgrade my vehi...Full ReviewFrom past few weeks, the handling of the cars has become worse. Was hoping it will be solved in the next update, but it's the same in the new update aswell. Unable to turn my favourite cars the way I want, as I used to do before. Fusion coins are really a pain in the a**, not able to upgrade my vehicles despite having sufficient amount of credits. Unable to claim event rewards aswell, why? Would have given 5 stars, if multiplayer race was playable through mobile data like in A9. Fix this ASAP.",1
Asphalt 8,Racing,high," the developers don't care about their customers! this game used to be great, until they made it so that it's damn near impossible to upgrade your cars without spending A LOT of real money, multiplayer races are a joke, and on top of that, the game randomly and FREQUENTLY frezzes AND crashes! even wi...Full Reviewthe developers don't care about their customers! this game used to be great, until they made it so that it's damn near impossible to upgrade your cars without spending A LOT of real money, multiplayer races are a joke, and on top of that, the game randomly and FREQUENTLY frezzes AND crashes! even with perfect internet connection. But don't worry! they have a solution! ""Check your connection, because of course it's YOUR fault because the game alway works perfectly"". This game is a damn JOKE!",1
Asphalt 8,Racing,high," This is honestly the best racing game I've ever played. I uninstalled it, redownload it, and now I'm sure I'll never uninstall this game. Graphics can be better, but that shouldn't be a concern. I love all of the challenges, limited time events, and all the things you can do. And, there's a whole bu...Full ReviewThis is honestly the best racing game I've ever played. I uninstalled it, redownload it, and now I'm sure I'll never uninstall this game. Graphics can be better, but that shouldn't be a concern. I love all of the challenges, limited time events, and all the things you can do. And, there's a whole bunch of cars and my favorite is the Lykan Hypersport because it's my dream car but anyways I will definitely recommend you racing fans this game.",5
Asphalt 8,Racing,high, This game is so amazing...but I propose next update buying of cars requirements should be flexible.,5
Asphalt 8,Racing,high, Awesome game. But somehow these days unable to connect to multiplayer mode. Every moment I try accessing multiplayer races; I get a message: ticket out of sync or connection error. Well can't be connection error because I dont experience any problem playing events (which does require a smooth stable...Full ReviewAwesome game. But somehow these days unable to connect to multiplayer mode. Every moment I try accessing multiplayer races; I get a message: ticket out of sync or connection error. Well can't be connection error because I dont experience any problem playing events (which does require a smooth stable network). Please gameloft fix this only issue. I will give you 5 stars. Have been playing this game for many years. Kindly fix the issue. Fours month gone.. Still waiting for tech support reply,1
Asphalt 8,Racing,high, I think this is the best game for racing because this graphics and controling was superb and also a greart maintain medium size track i o ved it,5
Asphalt 8,Racing,high," The game is good but to unlock cars it needs money that you have to buy . Without buying that money you cannot buy new cars and without new car you cannot play next races or challenges , so you have to play same races again and again . Even on winning races you would not get enough money collectivel...Full ReviewThe game is good but to unlock cars it needs money that you have to buy . Without buying that money you cannot buy new cars and without new car you cannot play next races or challenges , so you have to play same races again and again . Even on winning races you would not get enough money collectively so that you can buy cars. Only this thing sucks about this game . Otherwise it is good but because of money issue this game really sucks . I think doesn't even deserve 2 strars also becoz of that.",2
Asphalt 8,Racing,high, Gameloft! Are you guys paying attention to all these complaints? Your developers messed the fun up. Introducing fusion coins was NEVER necessary and should never be available. There's not even an availability of a player earning it during gameplay as a reward. It is purchased with real money. Do you...Full ReviewGameloft! Are you guys paying attention to all these complaints? Your developers messed the fun up. Introducing fusion coins was NEVER necessary and should never be available. There's not even an availability of a player earning it during gameplay as a reward. It is purchased with real money. Do you think it's that easy? Over 80% of users here can't enjoy such either. I personally can't purchase your fusion coins if I wanted to because Google purchase isn't available in my country. CHANGE!,1
Asphalt 8,Racing,high," Good game overall... however the latest update has screwed up the rewards system and the boosters too... who would want to use only 5 minutes of booster? I know... absolutely not a single person on the planet! TBH this game is starting to be a pay to play... the McLaren season is impossible unless y...Full ReviewGood game overall... however the latest update has screwed up the rewards system and the boosters too... who would want to use only 5 minutes of booster? I know... absolutely not a single person on the planet! TBH this game is starting to be a pay to play... the McLaren season is impossible unless you spend 100 USD to buy the cars but most ppl can't afford that. I wish GameLoft went to the old Asphalt... offline upgrades, elite vehicles, ability to buy cars with credits or tokens...",4
Asphalt 8,Racing,high," THis latest update makes it so hard to save any money to buy cars. All temp upgrades are way too espensive. Only ppl with real money to spend on game have a chance to win in multiplayer. Have to spend soooo much money to ""win"" cars in r and d. cars are so expensive to upgrade. not to mention the upd...Full ReviewTHis latest update makes it so hard to save any money to buy cars. All temp upgrades are way too espensive. Only ppl with real money to spend on game have a chance to win in multiplayer. Have to spend soooo much money to ""win"" cars in r and d. cars are so expensive to upgrade. not to mention the updates take my cars and accomplishments away and customer service does nothing about it.",2
Asphalt 8,Racing,high," Racing is mostly the same great part of the game. New festivals do give a small push to play the game but the cars you get out of the festivals have a horrible new upgrade scheme. The old upgrade scheme allowed you think more. The new currency added makes it so you only want to upgrade one or two ca...Full ReviewRacing is mostly the same great part of the game. New festivals do give a small push to play the game but the cars you get out of the festivals have a horrible new upgrade scheme. The old upgrade scheme allowed you think more. The new currency added makes it so you only want to upgrade one or two cars since maxed cars don't make money in season 9 and more. Old timers are leaving the game , you can tell by how long you have to wait for a multiplayer race to fill up. Ads come up quickly though.",3
Asphalt 8,Racing,high, I have played this game since 2014 on various devices . I have to say that Gameloft without a shadow of a doubt make the best mobile racing games out there. I have had issues tho had to uninstall and reinstall quite a few times loosing progress everytime and having to start from scratch wich is a re...Full ReviewI have played this game since 2014 on various devices . I have to say that Gameloft without a shadow of a doubt make the best mobile racing games out there. I have had issues tho had to uninstall and reinstall quite a few times loosing progress everytime and having to start from scratch wich is a real pain in the arse especially when you have loads of cars and credits. Graphics ace cars ace just a few bugs need to be sorted out. Would gladly give 5* then Spannerman46.......,4
Asphalt 8,Racing,high, I've been playing this game for 3 years. Only thing I can say based on the current situation & upcoming updates is that this game isn't what it was in its glory days. All that Gameloft wants is money out of its players & they won't care at all about the community's reactions. I insist not to downloa...Full ReviewI've been playing this game for 3 years. Only thing I can say based on the current situation & upcoming updates is that this game isn't what it was in its glory days. All that Gameloft wants is money out of its players & they won't care at all about the community's reactions. I insist not to download this game until the developers realise their mistake and change for good. Please help to restore this game to its better self. Post similar comments & drop their star ratings for the change to occur,1
Asphalt 8,Racing,high," Impossible to get a reply from support for month! Created three or four tickets, no reaction at all! And I am a user who spends real money on stupid game. Do not recommend gameloft games, because you will have issues for sure and you will never get reply from support. And if you spent money you feel...Full ReviewImpossible to get a reply from support for month! Created three or four tickets, no reaction at all! And I am a user who spends real money on stupid game. Do not recommend gameloft games, because you will have issues for sure and you will never get reply from support. And if you spent money you feel like a complete idiot in the end. Im pretty sure nobody reads it from gameloft. But in case anybody can help, here are some ticket numbers #KJK-71419-586, #HUA-78738-799",1
Asphalt 8,Racing,high, A game that WAS good but made into PURE TRASH. The name of this game should be PAY2WIN. You cannot play this game like a pro without spending money. Only those spend a lot of money in it are top level players. There is no room for skilled players. And those damn fusion coins made the game even worse...Full ReviewA game that WAS good but made into PURE TRASH. The name of this game should be PAY2WIN. You cannot play this game like a pro without spending money. Only those spend a lot of money in it are top level players. There is no room for skilled players. And those damn fusion coins made the game even worse. I can't even claim my rewards in mp. It has really become a bug. If gameloft doesn’t fix these issues it will die day by day,1
Asphalt 8,Racing,high, I would give this game a zero star. And wich the game added fusion coin to the games wich totaly killed the game and every one hate it and if you want to do multiplayer it is worse because you have very bad match making and every single car is now token wich is also another rare currency it the game...Full ReviewI would give this game a zero star. And wich the game added fusion coin to the games wich totaly killed the game and every one hate it and if you want to do multiplayer it is worse because you have very bad match making and every single car is now token wich is also another rare currency it the game aside from fusion coins. So if any one want this game don't get it because it is bad in all ways possible. Beside who would want this game it is already dead.,1
Asphalt 8,Racing,high," The most recent update to asphalt 8 has got to be the worst by far. For one, fusion coins. The only way of getting them is through selling cards, which, now that that you may need to hold onto for other cars, this is ridiculous. Second, the new prices of the boosters are crazy. I mean, the nitro sta...Full ReviewThe most recent update to asphalt 8 has got to be the worst by far. For one, fusion coins. The only way of getting them is through selling cards, which, now that that you may need to hold onto for other cars, this is ridiculous. Second, the new prices of the boosters are crazy. I mean, the nitro starter is now 18,000 credits, triple the price it was before, and with only 5m of it. To make matters worse, the tuning kit costs 18,000 of those stupid fusion coins.",1
Asphalt 8,Racing,high," I am a big fan of ashphalt 8 since it was launched. Last update was a bad experiece as we cannot get car tuning . its was too tough to get tokens at that time. Now the new update SUCKS the most. We have to spend a lot on nitro, tuning and even on double tank. I feel like quiting. As i have a HUGE ci...Full ReviewI am a big fan of ashphalt 8 since it was launched. Last update was a bad experiece as we cannot get car tuning . its was too tough to get tokens at that time. Now the new update SUCKS the most. We have to spend a lot on nitro, tuning and even on double tank. I feel like quiting. As i have a HUGE circle who plays along. All will uninstall if the problem is not resolved. You guys just pooped on an Outstanding game. What a BAD CHANGE.",1
Asphalt 8,Racing,high," Until from now that the season has already ended, I still cannot claim my rewards, I'm in Pro League and the season the just ended and I played once in free race, after the game my pro League logo becomes amateur league logo, and from now I cannot claim the rewards and the rewards on the bottom-left...Full ReviewUntil from now that the season has already ended, I still cannot claim my rewards, I'm in Pro League and the season the just ended and I played once in free race, after the game my pro League logo becomes amateur league logo, and from now I cannot claim the rewards and the rewards on the bottom-left side is for amateur league, can someone please explain this to me?",1
Asphalt 8,Racing,high," I used to love this game alot but lately it has degraded into a game I no longer know. Please find someway to bounce back to its former glory, but for now, I am neither playing asphalt 8 which is better than asphalt 9, nor asphalt 9. I've no intention of bringing down this great gaming company, but ...Full ReviewI used to love this game alot but lately it has degraded into a game I no longer know. Please find someway to bounce back to its former glory, but for now, I am neither playing asphalt 8 which is better than asphalt 9, nor asphalt 9. I've no intention of bringing down this great gaming company, but I believe in you and you can do better.",1
Asphalt 8,Racing,high," Please can you change the time of the boosters. 3 hours extra tank 10 min nitro starter 24 hours double credit and 15 min turning kit. This game was the best but now the game as being ruined. The daily reward has disappeared from the last update, now to pro a vehicle you need to have more cards of r...Full ReviewPlease can you change the time of the boosters. 3 hours extra tank 10 min nitro starter 24 hours double credit and 15 min turning kit. This game was the best but now the game as being ruined. The daily reward has disappeared from the last update, now to pro a vehicle you need to have more cards of rare and legendary engines and is impossible to find them even common cards engines is very difficult to find last thing some car have disappeared like Honda Civic type R",2
Asphalt 8,Racing,high," completly ruined after the last update. fusion coins are kind of impossible to get. boosters are impossible to use as they take high amount of creidts, tokens and fusion points. the new event cars are inpossible to update as these need blueprints which you can only get in the events by giving high a...Full Reviewcompletly ruined after the last update. fusion coins are kind of impossible to get. boosters are impossible to use as they take high amount of creidts, tokens and fusion points. the new event cars are inpossible to update as these need blueprints which you can only get in the events by giving high amount of real money. the game is becoming more 'pay to win' with any new update I am a player since it was launched, and as per me it started to become worst after asphalt 9's launch. R.I.P gameloft",1
Asphalt 8,Racing,high," Imo, I feel u guys should really increase the difficulty of the AI coz people that are skilled at this game can easily beat them despite having a car lower than the recommended car rating. As for credits, so far I am very pleased with the credit multiplyer as it really multiples our credits by alot....Full ReviewImo, I feel u guys should really increase the difficulty of the AI coz people that are skilled at this game can easily beat them despite having a car lower than the recommended car rating. As for credits, so far I am very pleased with the credit multiplyer as it really multiples our credits by alot. Plus, it lasts for quite a few races. Even tho I hav to watch ads first but I feel its worth it as its the only other way to earn credits faster besides spending real money.",5
Asphalt 8,Racing,high," It's so awesome and amazing for it's design but can you get another ssc tuatara 2020 because I like the ssc tuatara and it look amazing and problems are glitching into walls and going walls or barriers that car can't go in. Alright, it was a good game or cars and stuff, add some cars back to the gar...Full ReviewIt's so awesome and amazing for it's design but can you get another ssc tuatara 2020 because I like the ssc tuatara and it look amazing and problems are glitching into walls and going walls or barriers that car can't go in. Alright, it was a good game or cars and stuff, add some cars back to the garage and it would be awesome. Wait, I forgot something about the multiplayer race, almost everytime, people look like they are teleporting ahead on me even though I have the ultimate car in a class.",5
Asphalt 8,Racing,high," The game just goes worse and worse with every update. It started with ""Update 31"" and that was in Feb 2019. Since that time and within one year GL made the game awful!!! Don't trust these 5-star ratings unless you're rich and want to spend all your money buying and upgrading the cars!",1
Asphalt 8,Racing,high, Multiplayer sucks I cant understand how multiplayer is made. Its unfair in every way. I cant land on someone and wreck them. I landed on someone and i got wrecked. Next i push someone into a wall and they dont get wrecked. I get tapped by someone boosting and i get wrecked. I CANT DO THAT. multiplay...Full ReviewMultiplayer sucks I cant understand how multiplayer is made. Its unfair in every way. I cant land on someone and wreck them. I landed on someone and i got wrecked. Next i push someone into a wall and they dont get wrecked. I get tapped by someone boosting and i get wrecked. I CANT DO THAT. multiplayer is so unfair and uninjoyable especially when i created a new account and got free boosts. But when i went to my old account. I didnt get free boosts. Multiplayer is too broken.,3
Asphalt 8,Racing,high, Good graphics quality but since the last update the game is sooo difficult. If you want to upgrade a car internet connection. And OMG fusion coins to upgrade car with prokits? And also pay to win game because everything is so expensive. I would like to plead with Gameloft to switch back to the old v...Full ReviewGood graphics quality but since the last update the game is sooo difficult. If you want to upgrade a car internet connection. And OMG fusion coins to upgrade car with prokits? And also pay to win game because everything is so expensive. I would like to plead with Gameloft to switch back to the old version it was very cool then,3
Asphalt 8,Racing,high," Quite satisfied with the game and highly enjoyable. Has very good graphics. But few things have disappointed me after later assesments about the game. Firstly the new car Ferrari SF90 Stradale has sluggish acceleration and top speed at stock rank and you have to upgrade it fusion coins which would r...Full ReviewQuite satisfied with the game and highly enjoyable. Has very good graphics. But few things have disappointed me after later assesments about the game. Firstly the new car Ferrari SF90 Stradale has sluggish acceleration and top speed at stock rank and you have to upgrade it fusion coins which would require real money and no way you can win fusion coins. Also, winning the Koenigsegg Jesko in festive season is not possible without buying festival coins with real money. Please make amendments.",4
Asphalt 8,Racing,high, I love this game but during the festivals I just keep getting 3 coins so it just makes me feel that what is the point of participating in the festival if I won't get anywhere but now I can't get my online season reward because it keeps saying an error has occurred so I have asked support for help bu...Full ReviewI love this game but during the festivals I just keep getting 3 coins so it just makes me feel that what is the point of participating in the festival if I won't get anywhere but now I can't get my online season reward because it keeps saying an error has occurred so I have asked support for help but no one answered and it has been a month since I asked then what is the point of the fusion coins I liked the old game better I can't even make money,1
Asphalt 8,Racing,high, After update 39 it has become one of hardest game ever made because now without giving money to them you can't afford to buy a credit car,2
Asphalt 8,Racing,high," Fun game but there are some flaws. Like in multiplayer I am currently in Pro league but im losing my rank real fast coz the game is matching me up with people in champion league ad elite league, and nearly every race im losing up to 20 points off my rank, and when I DO win, when the game matches me ...Full ReviewFun game but there are some flaws. Like in multiplayer I am currently in Pro league but im losing my rank real fast coz the game is matching me up with people in champion league ad elite league, and nearly every race im losing up to 20 points off my rank, and when I DO win, when the game matches me up with siler leagues, I only go up about 4, which isnt that fair to be honest",3
