app_name,category,number_of_downloads,review_body,reviewer_ratings
American Cancer Society FUNdraising,Entertainment,low, Easy to use,5
American Cancer Society FUNdraising,Entertainment,low, Easy to use,5
American Cancer Society FUNdraising,Entertainment,low, love this app,5
American Cancer Society FUNdraising,Entertainment,low, Will not open,1
American Cancer Society FUNdraising,Entertainment,low, Good.,5
American Cancer Society FUNdraising,Entertainment,low, I love it,5
American Cancer Society FUNdraising,Entertainment,low, great,5
American Cancer Society FUNdraising,Entertainment,low, Great!,5
American Cancer Society FUNdraising,Entertainment,low, Awesome,5
American Cancer Society FUNdraising,Entertainment,low, Awesome,5
American Cancer Society FUNdraising,Entertainment,low, Excellent,5
American Cancer Society FUNdraising,Entertainment,low, Great app,5
American Cancer Society FUNdraising,Entertainment,low, Great,5
American Cancer Society FUNdraising,Entertainment,low, Easy access,5
American Cancer Society FUNdraising,Entertainment,low, Aweome App,5
American Cancer Society FUNdraising,Entertainment,low, Works great,4
American Cancer Society FUNdraising,Entertainment,low, Nice to always look at how much your team raised,5
American Cancer Society FUNdraising,Entertainment,low, works great!!,5
American Cancer Society FUNdraising,Entertainment,low, great fast,5
American Cancer Society FUNdraising,Entertainment,low, awesome,5
American Cancer Society FUNdraising,Entertainment,low, IT'S good,5
American Cancer Society FUNdraising,Entertainment,low, great,5
American Cancer Society FUNdraising,Entertainment,low, good,4
American Cancer Society FUNdraising,Entertainment,low, great,5
American Cancer Society FUNdraising,Entertainment,low, phenomenal,5
American Cancer Society FUNdraising,Entertainment,low," The improvements made to this app are great. It's nice to accept credit cards, and also to be able to accept different types of payments on behalf of someone else who is fundraising, also.",5
American Cancer Society FUNdraising,Entertainment,low, All Good!,5
American Cancer Society FUNdraising,Entertainment,low, Love it!,5
American Cancer Society FUNdraising,Entertainment,low, great app,5
American Cancer Society FUNdraising,Entertainment,low, awesome app,5
American Cancer Society FUNdraising,Entertainment,low, great.,5
American Cancer Society FUNdraising,Entertainment,low, great,5
American Cancer Society FUNdraising,Entertainment,low, exceptional,4
American Cancer Society FUNdraising,Entertainment,low, love it.,5
American Cancer Society FUNdraising,Entertainment,low, Great app.,4
American Cancer Society FUNdraising,Entertainment,low, Tech friendly,4
American Cancer Society FUNdraising,Entertainment,low, Easy!,5
American Cancer Society FUNdraising,Entertainment,low," I love app except since the last update, you have to put in your ID and password every time you try to open the app up. Which if you're running a booth of any sort and taking donations it's really not helpful because you have to make people wait for you to log back in every single time.",3
American Cancer Society FUNdraising,Entertainment,low, Login issues as others have stated.,2
American Cancer Society FUNdraising,Entertainment,low, Can't log in,2
American Cancer Society FUNdraising,Entertainment,low," Love being able to track my team and event at all times plus take 
donations. But the random app updates where you can't open the app with out 
updating is annoying. I was beyond embarrassed when during opening 
ceremomies, I went to open the app to announce current total and team role 
call as eve ...Full ReviewLove being able to track my team and event at all times plus take 
donations. But the random app updates where you can't open the app with out 
updating is annoying. I was beyond embarrassed when during opening 
ceremomies, I went to open the app to announce current total and team role 
call as eve t lead and it wouldn't run due to updates although the night 
before no issue. It would be awesome if there was a extra option for 
leadership or team captains to deposit money under team members names.",4
American Cancer Society FUNdraising,Entertainment,low," Since the update, when I click on the app it tries to open but ends open 
taking me back to my home page. After 4 or 5 attempts it usually will open.",3
American Cancer Society FUNdraising,Entertainment,low, Like being able to track my team,4
American Cancer Society FUNdraising,Entertainment,low," All of my donations have shown up, but when I tried to change things on my 
profile it came up as a web page error? Also, when I'd click various links 
to check out how it all works I was told that the main site certificate 
isn't updated or something and that continuing could be unsafe. It might be...Full ReviewAll of my donations have shown up, but when I tried to change things on my 
profile it came up as a web page error? Also, when I'd click various links 
to check out how it all works I was told that the main site certificate 
isn't updated or something and that continuing could be unsafe. It might be 
my phone, bc none of the people who donated mentioned this. I would look 
into it, though. Thank you.",3
American Cancer Society FUNdraising,Entertainment,low," I would like to add any items to my team members as team captain, but seem 
to be unable to do it",4
American Cancer Society FUNdraising,Entertainment,low," It just means everything i feel,,everything i live... from day to 
day,,minute to minute,,,it is just so real ,,,so true....",5
American Cancer Society FUNdraising,Entertainment,low, Love it!,5
American Cancer Society FUNdraising,Entertainment,low," The App has been AWESOME for selling our items during our Relay!!! I don't 
think it could be any easier to use.",5
American Cancer Society FUNdraising,Entertainment,low," This app has improved since last year! It's so easy to use and I highly 
recommend! We used it at our event and will continue using it!",5
American Cancer Society FUNdraising,Entertainment,low, Hard to line up the check to take a picture,3
American Cancer Society FUNdraising,Entertainment,low, Very easy app to use😁,5
American Cancer Society FUNdraising,Entertainment,low, Great & easy to use,4
American Cancer Society FUNdraising,Entertainment,low," Used this app, last year...it was great.  This year...its HORRIBLE!  I keep getting an error message to try and log in later; then I try to log in via facebook...no luck!  I need to scan checks into my page...cant make that happen.  HELP!!!!",2
American Cancer Society FUNdraising,Entertainment,low, I just downloaded it and now it won't even open. What's the point??,2
American Cancer Society FUNdraising,Entertainment,low, Awesome,5
American Cancer Society FUNdraising,Entertainment,low, Ugh! This is the last time I even try to use this app! It did last year! Extremely frustrating now that I have a team fundraiser coming up on 3/24. It's been of absolutely no help to me this year considering I have to keep uninstalling and now it won't even open! Please fix this for next year!,1
American Cancer Society FUNdraising,Entertainment,low, It's difficult to download to Facebook...,3
American Cancer Society FUNdraising,Entertainment,low, Immediately started receiving donations!,5
American Cancer Society FUNdraising,Entertainment,low," It won't open anymore. I really liked it, it had everything needed",2
American Cancer Society FUNdraising,Entertainment,low, Definitely needs work. Some donations are not getting credited to my team. I know they've gone through because my donors have shared transaction receipts with me. Please fix the app.,3
American Cancer Society FUNdraising,Entertainment,low," I can't screenshot any checks using my app. It will act like it is taking the picture of the check, but then goes back to the first screen and clears everything I have already entered.",2
American Cancer Society FUNdraising,Entertainment,low," I don't know what happened but this app isn't working.  It was up to date on the next year's registration but now on my iPad it is back on last year's fundraising and on my phone it isn't even going into the app, keeps kicking it back out and I have uninstalled and reinstalled it a few times.  Pleas...Full ReviewI don't know what happened but this app isn't working.  It was up to date on the next year's registration but now on my iPad it is back on last year's fundraising and on my phone it isn't even going into the app, keeps kicking it back out and I have uninstalled and reinstalled it a few times.  Please fix this issue and get it back to current fundraising and not closed fundraising.",2
American Cancer Society FUNdraising,Entertainment,low," This app used to work very well for me, but now it won't even open. I have uninstalled and reinstalled it several times but it still won't open.",1
American Cancer Society FUNdraising,Entertainment,low, Crashes when I try to open it,1
American Cancer Society FUNdraising,Entertainment,low," Worked before the update, now it won't open.",2
American Cancer Society FUNdraising,Entertainment,low, The app was wonderful until the update and now it won't open,2
American Cancer Society FUNdraising,Entertainment,low," It's a *great* app when it's working...but crashes pretty much all the time. Can't get it to update or even load the last couple of days, and keeps giving us a weird team company affiliation even though I keep clicking ""none.""",2
American Cancer Society FUNdraising,Entertainment,low," I can't get the app to update/sync. It doesn't keep up with what's going on. I had several donations made weeks ago that never showed up on the app. I logged into this year's event and that hasn't updated either.  I can't find anywhere in the app to sync or update, nor info in the FAQ or help sectio...Full ReviewI can't get the app to update/sync. It doesn't keep up with what's going on. I had several donations made weeks ago that never showed up on the app. I logged into this year's event and that hasn't updated either.  I can't find anywhere in the app to sync or update, nor info in the FAQ or help section. It is a pretty good all, I look forward to using it more, but hope I can get advisement on how to fix this issue.",4
American Cancer Society FUNdraising,Entertainment,low, This app needs some major updating!! It takes forever to load anything you want to do and does not show what you need to show. I can't see my team nor accept cash donations.,3
American Cancer Society FUNdraising,Entertainment,low, It's very convenient for people to make donations that you are not able to see daily,5
American Cancer Society FUNdraising,Entertainment,low, Bekaar,1
American Cancer Society FUNdraising,Entertainment,low, Very informational,5
American Cancer Society FUNdraising,Entertainment,low, Great AP,4
American Cancer Society FUNdraising,Entertainment,low, Everything you need to know is in these apps. Download and have fun!!!!,5
American Cancer Society FUNdraising,Entertainment,low, My donations did not show up on my Relay for Life account. I shared from app to Facebook. The donations went into American Cancer Society account. Called 2 differant 800 phone numbers and both said funds cannot be transferred back to my Relay account. This app is awful and I am deleting it. I will o...Full ReviewMy donations did not show up on my Relay for Life account. I shared from app to Facebook. The donations went into American Cancer Society account. Called 2 differant 800 phone numbers and both said funds cannot be transferred back to my Relay account. This app is awful and I am deleting it. I will only now use the Relay for Life webpage to fundraise.,1
American Cancer Society FUNdraising,Entertainment,low," It seems easy, I just wish the auto payment amount options started at $25 instead of $35",4
American Cancer Society FUNdraising,Entertainment,low, This needs to be more user friendly like the dashboard online.,2
American Cancer Society FUNdraising,Entertainment,low, Works much better than it did last year! Love it!,5
American Cancer Society FUNdraising,Entertainment,low, Works great and fast,5
American Cancer Society FUNdraising,Entertainment,low, Very frustrating to use!!  Have to log out and go back to the old  Making Strides app just to be able to see who's donating. Can't click on anyone or anything.  Also not getting notifications when people are donating. Hoped this year it would actually work.,2
American Cancer Society FUNdraising,Entertainment,low," After having problems getting logged on with my new phone, I called ACS and they got to work fixing the problem.  Received a email stating that the app had been fixed and was now compatible with my android 7.0 phone.",5
American Cancer Society FUNdraising,Entertainment,low," I am now walking away from my third donation because I can't get this app to work.  I have stopped promoting it as a fundraising tool to my team members because it is SO unreliable.  IF I can get it to take a picture, and IF I can get it to acknowledge the checks are on US funds, I inevitability get...Full ReviewI am now walking away from my third donation because I can't get this app to work.  I have stopped promoting it as a fundraising tool to my team members because it is SO unreliable.  IF I can get it to take a picture, and IF I can get it to acknowledge the checks are on US funds, I inevitability get the donation rejected email.  FRUSTRATED!!  Emailed ACS requesting assistance and got no response.",1
American Cancer Society FUNdraising,Entertainment,low," I have money to put on a different team member, as it is money raised by that person. I can't even access my team's roster to apply the money to the proper team member with this app, and I am co-captain of the team.",2
American Cancer Society FUNdraising,Entertainment,low," I was very happy with the app earlier this season but now it won't let me log in. I've uninstalled and reinstalled it several times and all I get is the spinning wheel. As an event lead, I've promoted this app often.  I hate to tell them to disregard as it doesn't work.  I was very excited about thi...Full ReviewI was very happy with the app earlier this season but now it won't let me log in. I've uninstalled and reinstalled it several times and all I get is the spinning wheel. As an event lead, I've promoted this app often.  I hate to tell them to disregard as it doesn't work.  I was very excited about this app and am now highly disappointed. Its over a year old so these types of bugs should be non-existent. I hope the issues are resolved soon.",1
American Cancer Society FUNdraising,Entertainment,low,Much better It's getting much better. Wish we could put our in kind donations cause those help support our Relay too,4
American Cancer Society FUNdraising,Entertainment,low, I've been trying to get this app to open for an hour. It just keeps spinning. I've lost so many donations because of it.,1
American Cancer Society FUNdraising,Entertainment,low, Will not log on no matter which method I use. Tried Facebook Google and typing in my email and password. Nothing ever happens just keeps loading.,1
American Cancer Society FUNdraising,Entertainment,low, The app downloads but will not log-in no matter what I try.  The app just spins and spins and spins.  The app does NOT WORK with Android 7.1.1.  Forget it.  App stinks.,1
American Cancer Society FUNdraising,Entertainment,low, Can't even log in on the app! Very inconvenient when I have my phone with me all the time. Can't take my donations! It sucks!!,1
American Cancer Society FUNdraising,Entertainment,low, I've downloaded the app three times.  App won't let me login for any reason.,1
American Cancer Society FUNdraising,Entertainment,low, I love it when it works but now I have an Honor 8 it will not get past the login screen.  Just loads forever after entering my credentials.,3
American Cancer Society FUNdraising,Entertainment,low, It has crashed with logging in with Facebook.,1
American Cancer Society FUNdraising,Entertainment,low, Works great! Paypal donations have been perfect and I can see all our teams progress.,4
American Cancer Society FUNdraising,Entertainment,low, Literally won't even load past the log in screen...,1
American Cancer Society FUNdraising,Entertainment,low, The app was so much easier last year. There is no where to enter cash amounts.,1
American Cancer Society FUNdraising,Entertainment,low, It said that I wasn't registered when I actually am,1
American Cancer Society FUNdraising,Entertainment,low,Terrible Does not show donations. Does not show team. Won't take check scans. I am deleting it now.,2
American Cancer Society FUNdraising,Entertainment,low," Says I'm not registered, when my team is, won't let me log in",2
American Cancer Society FUNdraising,Entertainment,low,Great app A great app for fundraising,5
American Cancer Society FUNdraising,Entertainment,low, I am not able to access my team page. It kept saying failed to fetch team page even after I've rebooted my phone. Please fix. Thanks,3
American Cancer Society FUNdraising,Entertainment,low, This app does not work,1
American Cancer Society FUNdraising,Entertainment,low,"Can't accept checks It took about 20 attempts to photograph a check and it was approved on Friday and now I've woken up to an email saying the download didn't work!!! Very frustrating!!! Told me to get the latest version of the ap, which I have 😕",2
American Cancer Society FUNdraising,Entertainment,low,Worthless for checks Cannot get it to take a photo of a check to save my life.,1
American Cancer Society FUNdraising,Entertainment,low, I can't get a working link thru text to send folks so they can join our team,2
American Cancer Society FUNdraising,Entertainment,low,"Convenient FUNdraising On-The-Go Easy to use and SO convenient--Especially with the ability to process credit cards and checks in ""real time.""  With this app, you'll meet or exceed your fundraising goals!! Encourage all your team members to download this app today!!",5
American Cancer Society FUNdraising,Entertainment,low,Team Alverson Very easy to use and I'd love to be able to keep track my team's progress and get credit cards processed and checks processed quickly.,4
American Cancer Society FUNdraising,Entertainment,low,Loved it till.... I download relay for life awhile ago and everything worked fine. Then I upgraded to this version and had login issues as well as issues with sending messages and asking for donations. It does not give me any options to select from when I click send message. No email no text no Facebook etc. I hope t...Full ReviewI download relay for life awhile ago and everything worked fine. Then I upgraded to this version and had login issues as well as issues with sending messages and asking for donations. It does not give me any options to select from when I click send message. No email no text no Facebook etc. I hope they fix this issue so I can love this app as much as previous one.,2
American Cancer Society FUNdraising,Entertainment,low,I love this App! I absolutely love being able to enter checks immediately when I get them and see my fundraising total go up immediately!  It is so easy to use. I also like being able to send text messages to my contact list on on my phone to ask for donations. Makes it so easy. Thank you for this great tool!,5
American Cancer Society FUNdraising,Entertainment,low, Upgraded version resolved a bug I was experiencing.  Thanks ACS.    The new FUNdraising app is great b/c now I don't need two separate apps to help fundraise and track funds.  I like the new look and feel and it seems to be much faster than previous versions.  I wish it allowed payment via Android P...Full ReviewUpgraded version resolved a bug I was experiencing.  Thanks ACS.    The new FUNdraising app is great b/c now I don't need two separate apps to help fundraise and track funds.  I like the new look and feel and it seems to be much faster than previous versions.  I wish it allowed payment via Android Pay...,5
American Cancer Society FUNdraising,Entertainment,low," I had to reach out for assistance as I was getting an error message when I tried to log in.  Up and running now, thanks Ben!",4
American Cancer Society FUNdraising,Entertainment,low,Asking people to join. Hi like the new app but am disappointed because I'm unable to use the making strides app anymore and can't ask people to join my team like I have in previous years. Can you help?,3
American Cancer Society FUNdraising,Entertainment,low,"I can't log in to this app I have tried many of time to log in. I've changed my password more than once, but it just keeps telling me to migrate my account. Which makes no sense, I have tried everything.",1
American Cancer Society FUNdraising,Entertainment,low,"Fundraising made easy, bugs fixed! Everyone was raving, so I had to try. Love this app!",5
American Cancer Society FUNdraising,Entertainment,low,Still having log in errors Unable to log in. Changed the password a couple times amd constantly get yhe error tbd or incorrect login info.,1
American Cancer Society FUNdraising,Entertainment,low," I love the new ACS FUNdraising app! It is so easy for me to post to my Facebook page and links directly to my fundraising page. For my personal use, it allows me to keep up with my donation activity, the main page shows how close I am to my fundraising goal.",5
American Cancer Society FUNdraising,Entertainment,low,Check donations option needs improvement Take many times to get clear picture copy,2
American Cancer Society FUNdraising,Entertainment,low," I don't use the app a lot, but it does exactly what I need it to -- it's easy to navigate and fast.",4
American Cancer Society FUNdraising,Entertainment,low,Easy to use I love this app.,5
American Cancer Society FUNdraising,Entertainment,low,This app is pointless The Relay for Life app actually served a purpose to help me manage teams. This doesn't even let me see how my team is doing or anything. Would rather just load in a browser.,1
American Cancer Society FUNdraising,Entertainment,low,"Doesn't work I downloaded this because the Relay for life app directed me to this one. Now neither one works! Extremely disappointed! My relay event is in 2 months and I do most of my fundraising thru the app, now it doesn't work. PLEASE FIX QUICKLY!",1
American Cancer Society FUNdraising,Entertainment,low,Log in It'd be great if I could actually log in. I set my email as my username and it won't let me log in because of that. I can't log in with my Google account or my Facebook. I tried resetting my password and it won't accept it. I deleted the other app so now I can't even keep track of how my team is doi...Full ReviewIt'd be great if I could actually log in. I set my email as my username and it won't let me log in because of that. I can't log in with my Google account or my Facebook. I tried resetting my password and it won't accept it. I deleted the other app so now I can't even keep track of how my team is doing. Very annoying!,1
American Cancer Society FUNdraising,Entertainment,low,"Can't log in! I can see that I am not the only one having this issue. Anyone who had an account with the Relay for Life app is unable to log in to this new app. We are missing out on valuable fundraising opportunities because no one is fixing this. What does migrate my account mean? It keeps telling me to do this...Full ReviewI can see that I am not the only one having this issue. Anyone who had an account with the Relay for Life app is unable to log in to this new app. We are missing out on valuable fundraising opportunities because no one is fixing this. What does migrate my account mean? It keeps telling me to do this, which makes no sense with no directions.",1
American Cancer Society FUNdraising,Entertainment,low,"Easier to use Easier to use than RFL app but it won't let you ask for donations for luminaries. Would like to have email templates from website available. Right now, using app and website to do what I want",3
American Cancer Society FUNdraising,Entertainment,low,Love the updates! I used my new app at a fundraiser yesterday to accept credit cards and checks instantly. My profile was updated immediately with my new fundraising progress and it was so simple to use. Thank you for the fantastic updates! SO MUCH BETTER THAN THE OLD APP!,5
American Cancer Society FUNdraising,Entertainment,low," It's great to be able to accept credit cards, checks, and now even Paypal for donations. The new version has added a lot of features and a much nicer interface. Well done!",5
American Cancer Society FUNdraising,Entertainment,low,Does not work. It won't let me login and says I have to login to the browser and migrate my account. I do not see an option to migrate within the browser app. Please fix your problems so that people aren't confused and have problems getting donations.,1
American Cancer Society FUNdraising,Entertainment,low,"Login Problems It won't let me login, even after resetting my password!",1
American Cancer Society FUNdraising,Entertainment,low,Great new App. I use it in my android device and it works great. Easy way to help fight cancer and raise awareness. Great job ACS!,5
American Cancer Society FUNdraising,Entertainment,low," Well, I was hoping the login problem was fixed, but I cannot login either. Come on ACS please fix this.",1
American Cancer Society FUNdraising,Entertainment,low,Cant login Same problem as literally everyone else.,1
American Cancer Society FUNdraising,Entertainment,low,Great updates! I love that fundraising can be linked to my team page. And that paypal is accepted!,5
American Cancer Society FUNdraising,Entertainment,low,Makes it so easy! Love being able to raise even more money for a great cause!,5
American Cancer Society FUNdraising,Entertainment,low,Frustration It would be great if it would let me log in properly.,1
American Cancer Society FUNdraising,Entertainment,low, App doesn't work. Can't log in,1
American Cancer Society FUNdraising,Entertainment,low,Sign in This app will not accept my sign on that I have already.,1
American Cancer Society FUNdraising,Entertainment,low,Can't login How do we raise money if it won't log in?????,1
American Cancer Society FUNdraising,Entertainment,low, Love the idea but needs lots of help!,2
American Cancer Society FUNdraising,Entertainment,low,The old app is better Cant log in,1
American Cancer Society FUNdraising,Entertainment,low,Can't log in Keeps telling me to link my accounts but then tells me my credentials are bad and I need to update them. I only have one account. I'm not sure what I'm supposed to link. Please fix this!,1
American Cancer Society FUNdraising,Entertainment,low,Can't scan checks You need to upgrade the app to allow you to take a picture of the check like banks do instead of scanning.  I spend 10 to 15 minutes every check trying to scan a check,1
American Cancer Society FUNdraising,Entertainment,low,"Log in I have updated my ""credentials "" several times and it still won't let me log in",1
American Cancer Society FUNdraising,Entertainment,low,"Frustrating The app only let's me scan ONE check after I uninstall and reinstall it.  Also, the actual scanning of check is not accurate and rarely works.",2
American Cancer Society FUNdraising,Entertainment,low,Can't log in I have tried several times and can not log in.,2
American Cancer Society FUNdraising,Entertainment,low," After i log in and it takes me to pick the event i'm in,  it just takes me right out of the app.",3
American Cancer Society FUNdraising,Entertainment,low, Can't log in.,3
American Cancer Society FUNdraising,Entertainment,low,Whole new way to relay Very easy to use,5
American Cancer Society FUNdraising,Entertainment,low,"Great app Such a good idea, thank you for finally making it available for Android devices!",5
American Cancer Society FUNdraising,Entertainment,low,"Finally for Android! So far, so smooth...",4
