apps,links
Captio - Expense Reports,https://play.google.com/store/apps/details?id=captio.ongest.com&showAllReviews=true
Fareboom Discount Flights,https://play.google.com/store/apps/details?id=com.fareboom.android&showAllReviews=true
UPS Mobile,https://play.google.com/store/apps/details?id=com.ups.mobile.android&showAllReviews=true
UPS Access Point,https://play.google.com/store/apps/details?id=com.ups.accesspoint&showAllReviews=true
Microsoft Azure,https://play.google.com/store/apps/details?id=com.microsoft.azure&showAllReviews=true
outback,https://play.google.com/store/apps/details?id=com.foodbooking.outbacksteakhouse&showAllReviews=true
Allscripts Professional,https://play.google.com/store/apps/details?id=com.allscripts.professional.EMF.PEHRMobile&showAllReviews=true
Allscripts® Patient Flow,https://play.google.com/store/apps/details?id=com.allscripts.patientflow&showAllReviews=true
Sunrise Mobile,https://play.google.com/store/apps/details?id=com.allscripts.SunriseMobileX&showAllReviews=true
Appy Weather,https://play.google.com/store/apps/details?id=appyweather.appyweather&showAllReviews=true
ruff,https://play.google.com/store/apps/details?id=ruff.ruff&showAllReviews=true
Aggreko,https://play.google.com/store/apps/details?id=com.telemisis.sitepro.mobile.arm.arm&showAllReviews=true
HCL Engage,https://play.google.com/store/apps/details?id=com.hcl.hclengage&showAllReviews=true
Microsoft News,https://play.google.com/store/apps/details?id=com.microsoft.amp.apps.bingnews&showAllReviews=true
BBC Good Food,https://play.google.com/store/apps/details?id=uk.co.bbc.goodfood2&showAllReviews=true
Caren,https://play.google.com/store/apps/details?id=org.cchmc.caren&showAllReviews=true
American Cancer Society FUNdraising,https://play.google.com/store/apps/details?id=org.cancer.fundraising&showAllReviews=true
BBVA,https://play.google.com/store/apps/details?id=com.bbva.compassBuzz&showAllReviews=true
MyCoach,https://play.google.com/store/apps/details?id=com.beyond12.mycoach&showAllReviews=true
Mile of Music,https://play.google.com/store/apps/details?id=com.skylinetechnologies.mileofmusicnew&showAllReviews=true
Expensya Expense reports,https://play.google.com/store/apps/details?id=com.expensyaandroid.expensyaandroid&hl=en_US&showAllReviews=true
Facebook Ads Manager,https://play.google.com/store/apps/details?id=com.facebook.adsmanager&showAllReviews=true
Bloomberg,https://play.google.com/store/apps/details?id=com.bloomberg.android.plus&showAllReviews=true
Gyroscope,https://play.google.com/store/apps/details?id=com.gyroscope.gyroscope&showAllReviews=true
Myntra,https://play.google.com/store/apps/details?id=com.myntra.android&showAllReviews=true
UberEats,https://play.google.com/store/apps/details?id=com.ubercab.eats&showAllReviews=true
Instagram,https://play.google.com/store/apps/details?id=com.instagram.android&referrer=utm_source%3Dinstagramweb%26utm_campaign%3DunifiedHome%26utm_medium%3Dbadge&showAllReviews=true
Facebook Analytics,https://play.google.com/store/apps/details?id=com.facebook.analytics&showAllReviews=true
Pinterest,https://play.google.com/store/apps/details?id=com.pinterest&showAllReviews=true
Skype,https://play.google.com/store/apps/details?id=com.skype.raider&showAllReviews=true
Tesla,https://play.google.com/store/apps/details?id=com.teslamotors.tesla&showAllReviews=true
Walmart,https://play.google.com/store/apps/details?id=com.walmart.android&showAllReviews=true
Wix.com,https://play.google.com/store/apps/details?id=com.wix.android&showAllReviews=true
CBS Sports Franchise Football,https://play.google.com/store/apps/details?id=com.cbssports.fantasy.franchisefootball2015&showAllReviews=true
Delivery.com,https://play.google.com/store/apps/details?id=com.deliverycom&showAllReviews=true
JD,https://play.google.com/store/apps/details?id=com.jingdong.app.mall&showAllReviews=true
Salesforce,https://play.google.com/store/apps/details?id=com.salesforce.chatter&showAllReviews=true
QRCode Reader and Generator,https://play.google.com/store/apps/details?id=io.insider.apps.qr&showAllReviews=true
Shoot I Smoke,https://play.google.com/store/apps/details?id=com.shitismoke.app&showAllReviews=true
LBRY beta,https://play.google.com/store/apps/details?id=io.lbry.browser&showAllReviews=true
Tencent QQ,https://play.google.com/store/apps/details?id=com.tencent.mobileqq&showAllReviews=true
Rocket Chat Experimental,https://play.google.com/store/apps/details?id=chat.rocket.reactnative&showAllReviews=true
RSG Chess,https://play.google.com/store/apps/details?id=com.rsg.chess&showAllReviews=true
Chain React Conf,https://play.google.com/store/apps/details?id=com.chainreactapp&hl=en&showAllReviews=true
Joplin,https://play.google.com/store/apps/details?id=net.cozic.joplin&showAllReviews=true
Zulip,https://play.google.com/store/apps/details?id=com.zulipmobile&showAllReviews=true
Pride in London,https://play.google.com/store/apps/details?id=org.prideinlondon.festival&showAllReviews=true
Forex Rates,https://play.google.com/store/apps/details?id=com.forexrates&showAllReviews=true
eLadder,https://play.google.com/store/apps/details?id=de.sebastianrehm.eladder&hl=en&showAllReviews=true
arXiv Papers,https://play.google.com/store/apps/details?id=com.rockbyte.arxiv&showAllReviews=true
Kitty Rescue,https://play.google.com/store/apps/details?id=com.kittyrescue&showAllReviews=true
Hydropuzzle,https://play.google.com/store/apps/details?id=org.sobstel.hydropuzzle&showAllReviews=true
Baidu Mobile,https://play.google.com/store/apps/details?id=com.baidu.searchbox&showAllReviews=true
Color Match,https://play.google.com/store/apps/details?id=com.colormatch&showAllReviews=true
