,author_name,review_date,reviewer_ratings,review_body
10,Aprofolis _,"April 21, 2020",2," For a long time I'm waiting for facebook to add a option for color themes, or FB styles... I think this app is way too big (it takes more than 1GB of my space) but still has no Themes...and Icons start to appear on the bottom, than on the top againg. Then there was the option to resposition and crop...Full ReviewFor a long time I'm waiting for facebook to add a option for color themes, or FB styles... I think this app is way too big (it takes more than 1GB of my space) but still has no Themes...and Icons start to appear on the bottom, than on the top againg. Then there was the option to resposition and crop your profile photo, then there is not... so many changes... just stick to one look. I think Icon on the bottom are better, smartphones are too big to reach them on top... dark mode still not here."
11,Daniel Raldes,"April 20, 2020",1," Everyday, it becomes just shittier. Can't take screenshots, laggy all along. Won't mind at all to explain this app is bad, because it is so necessary. Yet so annoying to interact with and let's not talk about how they separate all functional tweaks in other apps like messenger and creator studio, wh...Full ReviewEveryday, it becomes just shittier. Can't take screenshots, laggy all along. Won't mind at all to explain this app is bad, because it is so necessary. Yet so annoying to interact with and let's not talk about how they separate all functional tweaks in other apps like messenger and creator studio, which both were totally functional inside the same app. Does Facebook wanna hear opinions to improve? Of course not, that's why I won't mind elaborate."
12,amy louise,"April 20, 2020",1," This isnt really towards the app, its toward facebook itself. I have forgotten my password (which i think it strange because i use the same few passwords for everything) but everytime i ask for a code to reset my password to my mobile number it doesnt turn up. (I signed up with me mobile# not email,...Full ReviewThis isnt really towards the app, its toward facebook itself. I have forgotten my password (which i think it strange because i use the same few passwords for everything) but everytime i ask for a code to reset my password to my mobile number it doesnt turn up. (I signed up with me mobile# not email, so i have no email attached to my account. And there is no way to contact fb direct which I think is stupid!"
13,Ulimin Fendie,"April 21, 2020",5," Everyone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, PRIVACY and FASTER. Facebook is a terrible app. When I scroll through business pages, whether I've liked or follow them or not, I'm only seeing the first 5 or so posts, it freezes and can't see anything further...Full ReviewEveryone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, PRIVACY and FASTER. Facebook is a terrible app. When I scroll through business pages, whether I've liked or follow them or not, I'm only seeing the first 5 or so posts, it freezes and can't see anything further. When I share or upload onto my own profile, it takes ages to so. And, when I'm scrolling through my news feed, I'm seeing the same old posts over and over again, refreshing doesn't help"
14,Mattew Victoria,"April 21, 2020",2," Facebook is good and my account was banned. get this, i didn't do something inappropriate. there are a lot of stuffs in that account. it kept on saying i need to identify myself so i did, but there's a sudden error (the page role part) appearing every time. please fix this Facebook, there are a lot ...Full ReviewFacebook is good and my account was banned. get this, i didn't do something inappropriate. there are a lot of stuffs in that account. it kept on saying i need to identify myself so i did, but there's a sudden error (the page role part) appearing every time. please fix this Facebook, there are a lot of memories in that account."
15,Jason Lee,"April 21, 2020",4, I use it all the time and generally love it. For some reason though the default Facebook notification tone won't work. I tried changing it to another tone but it just uses my phone default sound so it sounds just the same as my other notifications. It's driving me mad as I'm missing notifications by...Full ReviewI use it all the time and generally love it. For some reason though the default Facebook notification tone won't work. I tried changing it to another tone but it just uses my phone default sound so it sounds just the same as my other notifications. It's driving me mad as I'm missing notifications by thinking they're emails!
16,Emanuel Calzadilla,"April 19, 2020",4, Facebook has been an integral part of my life since 2009. I would like to be able to reach all of my friends though. Not just the people I connect with the most. If I have 3000 friends maybe 150 see my timeline posts on their newsfeed. Make it a better experience again like the old days and you'll g...Full ReviewFacebook has been an integral part of my life since 2009. I would like to be able to reach all of my friends though. Not just the people I connect with the most. If I have 3000 friends maybe 150 see my timeline posts on their newsfeed. Make it a better experience again like the old days and you'll get 5 stars from me.
17,Kindly Luisa,"April 18, 2020",4," Everyone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, PRIVACY and VERY FAST. I absolutely LOATHE Facebook. The OS is a piece of garbage and needs way too many permissions to do things that completely invade my privacy. I can at least leave things off of my dummy p...Full ReviewEveryone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, PRIVACY and VERY FAST. I absolutely LOATHE Facebook. The OS is a piece of garbage and needs way too many permissions to do things that completely invade my privacy. I can at least leave things off of my dummy profile to stop the data mining, but not with the app. To top it off, it came pre-installed on my Android and you can't delete/uninstall"
18,Cheese,"April 20, 2020",1, I can't uninstall this. It doesn't let me mute all notifications without jumping through five-million hoops. The people using this app are all raving loonys and the strictness of what your name can be is terrible. I found the layout so confusing and old looking that it made me want to hang myself. T...Full ReviewI can't uninstall this. It doesn't let me mute all notifications without jumping through five-million hoops. The people using this app are all raving loonys and the strictness of what your name can be is terrible. I found the layout so confusing and old looking that it made me want to hang myself. The only reason I made an account on this pointless excuse of an social network was to link a game account and after my experiance that will stay the only reason. Frankly get any other social network.
19,Zenpai Gaming,"April 20, 2020",1," What happen this latest update? all settings went reset, my private setting become all public & i can't even take it back.. its confusing, this is worst... example, my private photo's went public when you ""view as public"" all became (public) like wth happen? i tried to make it private again but you ...Full ReviewWhat happen this latest update? all settings went reset, my private setting become all public & i can't even take it back.. its confusing, this is worst... example, my private photo's went public when you ""view as public"" all became (public) like wth happen? i tried to make it private again but you need to do it one by one, photo's/videos/tagged photo's. how u gonna do it for a thousands of pic? like come on really?"
20,Rodney Livengood,"April 19, 2020",1," This App has too many false ads that you can win new phones, trips and other prizes for your loyalty or purchases. They are false. They get y oil ir critical billing information land begin running a series of false charges through your accounts that tie up your credit or bank account. There is a gro...Full ReviewThis App has too many false ads that you can win new phones, trips and other prizes for your loyalty or purchases. They are false. They get y oil ir critical billing information land begin running a series of false charges through your accounts that tie up your credit or bank account. There is a group of people trained to screw you fast and thoroughly. Your money is tied up, your credit is ruined. They even come back after you report them."
21,Rohan Patel,"April 19, 2020",1," Disappointed So much potential and so much money behind Facebook to help with improvements but the android app is far from the standard it should be today. No option to seek in videos, no ability to go to exact post from log and once found through scrolling on page no ability to save video. Poor alg...Full ReviewDisappointed So much potential and so much money behind Facebook to help with improvements but the android app is far from the standard it should be today. No option to seek in videos, no ability to go to exact post from log and once found through scrolling on page no ability to save video. Poor algorithm for user to see entire newsfeed once refreshed. Overall reckless interface - but stuck with it."
22,Aamena Karolia,"April 21, 2020",2," My Facebook updated yesterday and now the new look is terrible. My videos don't play with sound on the feed. Only adverts do. You have to click on to the video to watch and when you click back to go out, it keeps taking you back to the start of the days posts. The new look is annoying."
23,vvv vvv,"April 20, 2020",1," 1- Reduce battery usage 2- Add dark theme for whole application 3- The performance of the app is so laggy 4- when opening video, the video player show the video two times (the one that played and another one underneath it) 5- The restrictions of sharing copyright content should be changed, by forcin...Full Review1- Reduce battery usage 2- Add dark theme for whole application 3- The performance of the app is so laggy 4- when opening video, the video player show the video two times (the one that played and another one underneath it) 5- The restrictions of sharing copyright content should be changed, by forcing the user to share information of the content on the post instead of just muting the post 6- Stories access to the gallery should be arranged"
24,Hans Qreymer daniel,"April 19, 2020",5, The main app was really fast and it works really well but the only problem is it has bigger storage gap than the lite one I mean the gap between the 2 app was so big the fb has 40mb but the lite only took 1mb of storage. Its not a big deal if you have a big phone storage but us who has storage of 8 ...Full ReviewThe main app was really fast and it works really well but the only problem is it has bigger storage gap than the lite one I mean the gap between the 2 app was so big the fb has 40mb but the lite only took 1mb of storage. Its not a big deal if you have a big phone storage but us who has storage of 8 or 16 its really hard to adjust. I still use this app because fb is so fast than the lite one
25,saurabh chaurasiya,"April 20, 2020",1," Are you aware of a new feature that Facebook added since the February 1st update? Many of you probably don’t know that over the past 8 weeks Facebook has been monitoring and tracking what you do when you're offline and not on Facebook. I suggest you to look now as you won’t believe what they see. To...Full ReviewAre you aware of a new feature that Facebook added since the February 1st update? Many of you probably don’t know that over the past 8 weeks Facebook has been monitoring and tracking what you do when you're offline and not on Facebook. I suggest you to look now as you won’t believe what they see. To see what they are seeing, go to Facebook settings, scroll down to Your Facebook Information. Click on Off-Facebook Activity. You can see the list in Manage Your Off-Facebook Activity. To shut it d"
26,Zach Wright,"April 16, 2020",2," Too many things are broken in this app. Just to name a couple, if I go into my activity log, I can't go into the post in which I did the certain activity that I'm looking for (such as comment, post or react). Tapping on the activity does nothing no matter where I tap. This works fine in a web browse...Full ReviewToo many things are broken in this app. Just to name a couple, if I go into my activity log, I can't go into the post in which I did the certain activity that I'm looking for (such as comment, post or react). Tapping on the activity does nothing no matter where I tap. This works fine in a web browser, so why not in the app. The other thing is when I go into a group and try to search, nothing comes up even though I know for sure that the word that I searched for has been discussed many times."
27,Noraini Puspa,"April 19, 2020",3, I can't log in to my account because I forgot the password. When I press the 'forgotten password' they asked me to enter my phone number so that they can give me the code for reseting my password. But I received nothing! I waited and try again and again but Facebook doesn't send me the code. Please ...Full ReviewI can't log in to my account because I forgot the password. When I press the 'forgotten password' they asked me to enter my phone number so that they can give me the code for reseting my password. But I received nothing! I waited and try again and again but Facebook doesn't send me the code. Please tell me what to do. Can I get my account back?
28,D Haban,"April 17, 2020",1," They delete information they say is inaccurate, but allow propaganda to freely circulate. Bottom line, the ""information"" that passes on Facebook belongs to those who have the highest bid. In a nutshell, Facebook is the most anti-American site out there. The only thing it is good for is playing games...Full ReviewThey delete information they say is inaccurate, but allow propaganda to freely circulate. Bottom line, the ""information"" that passes on Facebook belongs to those who have the highest bid. In a nutshell, Facebook is the most anti-American site out there. The only thing it is good for is playing games. I would never give it my real name, phone number, etc."
29,Moha Abdu,"April 19, 2020",1," You are trying to improve security , but making the facebook worser. LoL i recommended using twitter there is no Photoface lag and upload Your ID card Lag ( ID cards can be stolen if some error occured ) . Twitter Has also more ratings then Facebook. I recommended it. As we can see more people gave ...Full ReviewYou are trying to improve security , but making the facebook worser. LoL i recommended using twitter there is no Photoface lag and upload Your ID card Lag ( ID cards can be stolen if some error occured ) . Twitter Has also more ratings then Facebook. I recommended it. As we can see more people gave the faceobook only 1 rating since the last years ."
30,U KAUNG SAN,"April 20, 2020",5, Facebook is helpful to us because in page we don't unknown page and we will get healthy and knowledge. After the Messager will get we may know friendly and chat the messages or video chat and voice chat.we will text. In Facebook we will also see our friendship account. And playing the games.Live Vid...Full ReviewFacebook is helpful to us because in page we don't unknown page and we will get healthy and knowledge. After the Messager will get we may know friendly and chat the messages or video chat and voice chat.we will text. In Facebook we will also see our friendship account. And playing the games.Live Video and Watch party. That's Why We like Facebook.
31,Jonathon Lett,"April 21, 2020",4, I like the platform of Facebook social media because it allows me to stay in contact with friends and also show off my tattoo artwork and social media has brought my business up to a whole new level without it even mean to you so I have quite enjoyed this app since it originally had opened and I wil...Full ReviewI like the platform of Facebook social media because it allows me to stay in contact with friends and also show off my tattoo artwork and social media has brought my business up to a whole new level without it even mean to you so I have quite enjoyed this app since it originally had opened and I will continue to you to use it for years to come. I do wish that you would bring you the original version from a few years ago of Facebook Marketplace back it says the way it's operating now it's hard to
32,Serena,"April 19, 2020",1," I have a Facebook account I did not use for a long time and I just login again since yesterday (use my phone). This morning I login in my computer and change password. After that I was log out and FB force me to identify myself and the only method I can choose is approving the login session from one...Full ReviewI have a Facebook account I did not use for a long time and I just login again since yesterday (use my phone). This morning I login in my computer and change password. After that I was log out and FB force me to identify myself and the only method I can choose is approving the login session from one of the devices I used. The problem is, both my phone and my computer was log out and FB force me to identify on all devices I used to login. Now I've lost access to my account for very silly reason."
33,Michaela Sadler,"April 18, 2020",1," Well people when are u going to fix this app good & properly. It is only happening on this app. I am still getting new notification on login. I can't get rid of it. Please fix it properly so i can have it back to normal. Updates are not doing anything....surprise surprise there. Here is a idea. Inst...Full ReviewWell people when are u going to fix this app good & properly. It is only happening on this app. I am still getting new notification on login. I can't get rid of it. Please fix it properly so i can have it back to normal. Updates are not doing anything....surprise surprise there. Here is a idea. Instead of gving us so many small updates, which don't do a thing anyhow. Why not fix app good & properly. And instead give us one big update that will fix everything. Including my login page."
34,Shayendra Hurrynaran,"April 18, 2020",3, The video auto play is not a user experience it forces the user to play the next video even it not related to the same title or upload user. It just a limited time of 5 seconds in fact the user looses it focus about viewing the video rather giving the user full user experience. It is to the user to ...Full ReviewThe video auto play is not a user experience it forces the user to play the next video even it not related to the same title or upload user. It just a limited time of 5 seconds in fact the user looses it focus about viewing the video rather giving the user full user experience. It is to the user to decide if he/she want the auto play next video or not. And not at each time he/she must set it by manually (AI could be used to know the user style).
35,Amanda Day,"April 18, 2020",1," Always been a 5 star app for me until the last few updates. My own personal profile icon was much better before... than having to tap my settings to see my page... follow buttons are GONE completely gone. When I add a friend and go to there page, how I want to see them (default, first, etc) nothing ...Full ReviewAlways been a 5 star app for me until the last few updates. My own personal profile icon was much better before... than having to tap my settings to see my page... follow buttons are GONE completely gone. When I add a friend and go to there page, how I want to see them (default, first, etc) nothing there... I have block, report problem, and copy link, what is that all about??? Please go back to the normal ways, we have enough unnormal in our lives right now without facebook wrecking havoc..."
36,Glenda Harrison,"April 16, 2020",5, It runs fast and smoth. It has a lot of features. It also has a lot of options to choose from. It has a video messigering so when you send the text it comes on to show a video of you before they answer the phone. It's has a lot really cool stuff. For $29.99 and a $30.00 pre paid Verizon card It's wo...Full ReviewIt runs fast and smoth. It has a lot of features. It also has a lot of options to choose from. It has a video messigering so when you send the text it comes on to show a video of you before they answer the phone. It's has a lot really cool stuff. For $29.99 and a $30.00 pre paid Verizon card It's worth it. Go to Walmart and get one while they last.
37,OTAKU GIRL EXIST,"April 20, 2020",5, Facebook is fun and very useful. I don't know why others complain about it but I don't experience any bugs at all. By the way I've been using this app for almost 8 years. There are a lot of things updated in this app and I really liked it. I'm looking forward for more amazing features. Keep up the g...Full ReviewFacebook is fun and very useful. I don't know why others complain about it but I don't experience any bugs at all. By the way I've been using this app for almost 8 years. There are a lot of things updated in this app and I really liked it. I'm looking forward for more amazing features. Keep up the good work! 😊
38,Malte Twarloh,"April 19, 2020",2," The app is generally broken. More often than not it doesn't display comments, doesn't load profiles completely and so on. I mean it can't be that hard, can it? It's just database queries after all... The app is quite fast and responsive, I give it that."
39,Mr. Warlight,"April 19, 2020",1, Facebook never sends verification codes making it impossible to log into an account that requires authentification from other devices. Facebook never explains why it never sends verification codes. Facebook doesn't have customer service and it doesn't help with anything. None of that is an exaggerat...Full ReviewFacebook never sends verification codes making it impossible to log into an account that requires authentification from other devices. Facebook never explains why it never sends verification codes. Facebook doesn't have customer service and it doesn't help with anything. None of that is an exaggeration. Facebook is an aggrevatingly stupid site.
40,Sivaan Greenzweig,"April 19, 2020",1," I only have this app for the ""facebook live"" function. Videos start playing loudly when scrolling in the app in the middle of the night. Just got a ""Camera"" labelled icon on the desktop and I was certain that my phone was infected with malware. Downloaded two antiviruses before I got the courage to ...Full ReviewI only have this app for the ""facebook live"" function. Videos start playing loudly when scrolling in the app in the middle of the night. Just got a ""Camera"" labelled icon on the desktop and I was certain that my phone was infected with malware. Downloaded two antiviruses before I got the courage to tap it, just to find out that it was part of the dumb facebook app. Very stressful experience. App crashes."
41,Tom P,"April 18, 2020",1," April 2020 Update: Well, as of a few months ago, I'm finally able to open up my photo via my home feed and/or news feed without it ""freezing"" anymore. Now there is a new issue. I can see some of my pictures in an album with 80ish photos. I could scroll down maybe roughly 15 pictures then i get the s...Full ReviewApril 2020 Update: Well, as of a few months ago, I'm finally able to open up my photo via my home feed and/or news feed without it ""freezing"" anymore. Now there is a new issue. I can see some of my pictures in an album with 80ish photos. I could scroll down maybe roughly 15 pictures then i get the spinning icon letting me know it's trying to load the next pictures, but it's really not. I have tried to test this on other android phones I have and they're at acting the same way. Now I try to look at the album using my iPhone and that works just fine. I'm leaning more and more towards iPhone now just because of how buggy these android apps are and bloatwares. Another thing, Facebook's new algorithm on who it thinks should see your posts is terrible. Only a fraction of my friends and family are seeing my posts now because your algorithm doesn't want to ""spam"" people with posts it thinks people wont want to see; meaning my posts. THENNNN you guys shove a bunch of paid ads into our faces instead?? 2019 Reveiw: After digging deep into the phone clearing out so much data and cached files, testing it with other phones, and etc, I have finally found the answer.. It was the Android Facebook update. Clicking a picture from my news feed that has multiple pictures kind of freezes the app. You can press the back button on the Android phone to unfreeze it. The average person that clicks on my picture via their home feed would probably think their app is frozen and close it out then open up again then wouldn't see my new posts with my travel pics anymore on their news feed since it was already shown on their feed. I have confirmed this is the case only with Androids so far testing it on 5 Androids unsuccessfully looking at my albums via the feed. iPhone users still can view photos via the feed, though. I do see another recent review saying the same thing. The work around for this, which I know people wont do unless they really like you or know you, would be to go to my the person's page, click on Photos, then choose that specific album they want to see. Sorry for the giant wall of text of a review. Google kills the format and shoves it into a giant block of a review."
42,Blue & Green Traveling Team,"April 19, 2020",1," Facebook is out of control! If I look at any page and look at their posts it literally spins like a slot machine! I've uninstalled and reinstalled the app and it is still the same. Last few days it says I have 98 notifications, but I have only a few or even zero and notifications never update. I'll ...Full ReviewFacebook is out of control! If I look at any page and look at their posts it literally spins like a slot machine! I've uninstalled and reinstalled the app and it is still the same. Last few days it says I have 98 notifications, but I have only a few or even zero and notifications never update. I'll keep trying to figure it out. We shall see."
43,Ace Grae Blue,"April 18, 2020",1," Good For Everything, but there's a lot of issue when it comes on uploading picture or videos, the quality is very bad also and same with messenger unlike before, the photos and videos will we send is more appropriate look than now. And after posting this, my facebook is now temporary blocked, c'mon ...Full ReviewGood For Everything, but there's a lot of issue when it comes on uploading picture or videos, the quality is very bad also and same with messenger unlike before, the photos and videos will we send is more appropriate look than now. And after posting this, my facebook is now temporary blocked, c'mon facebook why?"
44,izzy w,"April 18, 2020",1," Terrible app, it's becoming useless now. Whenever I go to a page or a group and scroll it loads a little bit and then stops loading so prevents me from further browsing. The same with the marketplace. Very glitchy and slow. Unreliable. They also censoring everything there so no freedom of speech any...Full ReviewTerrible app, it's becoming useless now. Whenever I go to a page or a group and scroll it loads a little bit and then stops loading so prevents me from further browsing. The same with the marketplace. Very glitchy and slow. Unreliable. They also censoring everything there so no freedom of speech anymore, it's only what suits them, everything else gets deleted. Time for a new platform."
45,Lucky Ameta,"April 18, 2020",2," I use this app always. But this need few improvements specially in notifications and privacy. In addition, dark mode is much awaited. Now this app show fake count of notifications. Most of the time badge count is wrong and of already read updates. PS. Seems like FB never considering comments...as of...Full ReviewI use this app always. But this need few improvements specially in notifications and privacy. In addition, dark mode is much awaited. Now this app show fake count of notifications. Most of the time badge count is wrong and of already read updates. PS. Seems like FB never considering comments...as of they know well that we have to use it no matter. Fb web page is better than this app in terms of timeline. I miss many updats in app. Always updating but not sharing what they change. Getting worst"
46,news paper,"April 18, 2020",1," Facebook was a great app but recently it has became an irritating app. When I'm watching a video it suddenly kick me out from the video. Doesn't matter if I have been watching video's for few minutes or for an hour. Also when I click the message icon from FB app it show me a page saying ""Switch acco...Full ReviewFacebook was a great app but recently it has became an irritating app. When I'm watching a video it suddenly kick me out from the video. Doesn't matter if I have been watching video's for few minutes or for an hour. Also when I click the message icon from FB app it show me a page saying ""Switch account"". When I try to get back it show me a page saying ""Open messenger"". I have deleted both Facebook & messenger few times but doesn't fix. I hope you will take care of this problems soon."
47,Merida Taylor,"April 19, 2020",3, I have uses up for a couple of years now and I've changed my phone over a couple times but as of recently twice there were things that were posted on my Facebook I never posted and tag people in it and put it on my story which I never did and it pisses me off that I haven't continuously I really hop...Full ReviewI have uses up for a couple of years now and I've changed my phone over a couple times but as of recently twice there were things that were posted on my Facebook I never posted and tag people in it and put it on my story which I never did and it pisses me off that I haven't continuously I really hope Facebook goes in and fixes this!!!!! Im so pissed off by this still happening!!!!!
48,Bob Cud,"April 20, 2020",2," No English UK and logging out does not work a lot of the time Thus app has become the most useless annoying app It alters layout everytime you use, groups shortcut being the most annoying, sometimes there sometimes not, sometimes works sometimes not On Samsung cannot uninstall only disable which aga...Full ReviewNo English UK and logging out does not work a lot of the time Thus app has become the most useless annoying app It alters layout everytime you use, groups shortcut being the most annoying, sometimes there sometimes not, sometimes works sometimes not On Samsung cannot uninstall only disable which again is annoying otherwise would start again and disable updates"
49,Peter Warburton,"April 17, 2020",1," The upgrade to this app is terrible. I cannot even use Facebook now since they prompted to upgrade yesterday. All it does is kick me off. Operation speed is nill to zero . It has rendered my FB page totally I operable. I cant scroll down my page, videos wont load, I can barely post a sentence and I ...Full ReviewThe upgrade to this app is terrible. I cannot even use Facebook now since they prompted to upgrade yesterday. All it does is kick me off. Operation speed is nill to zero . It has rendered my FB page totally I operable. I cant scroll down my page, videos wont load, I can barely post a sentence and I get kicked off or yhd page continually refreshes. In short it sucks. And I cant get back to the old operating system. I may have to deactivate and give up social media ...."
50,Chris Brooks,"April 20, 2020",2," Most video players allow the video controls, like the pause button to time out, so you can clearly see the video. Why here in the facebook app does the time slider and pause button time in? I have to keep clicking it away. Not impressed. Is facebook not selling enough private data to afford a simple...Full ReviewMost video players allow the video controls, like the pause button to time out, so you can clearly see the video. Why here in the facebook app does the time slider and pause button time in? I have to keep clicking it away. Not impressed. Is facebook not selling enough private data to afford a simple fix?"
51,B Zimmerman,"April 18, 2020",1, Not sure why you felt the need to add a dinging noise everytime I open this app on my phone. Please provide instructions on how to shut it off. I've looked through the settings and can't find it. If this continues the app will be removed from any of my devices that it happens on.
52,Naji Williams,"April 18, 2020",2," Fix the part where you click on a notification in the list if notifications and nothing happens. It's like the screen doesn't even recognize your touch for that specific notification. Facebook should be better than that, what with all the money you make and the employees you exploit."
53,Kevin Lieby,"April 17, 2020",3," App has become clunky on my device (Samsung Wifi tablet sm-t380). Scrolling other people's pages is impossible in portrait mode, as the right half (or more) fills with the related material pane. Text and picture posts are compressed excessively to a quarter of the screen. Facebook watch clips (or ot...Full ReviewApp has become clunky on my device (Samsung Wifi tablet sm-t380). Scrolling other people's pages is impossible in portrait mode, as the right half (or more) fills with the related material pane. Text and picture posts are compressed excessively to a quarter of the screen. Facebook watch clips (or other videoes) don't resize to the screen in landscape mode, so much of the video is cut off. I am constantly having to rotate the tablet, just to get through my feed."
54,Alessia Baglione,"April 17, 2020",2, Too many bugs and glitches... I'll get notification on top of notifications of things that were already notified (repeatedly) as well as something wont load or facebook will suddenly crash. Also messenger has been glitchy many times. Without these errors.. it could run much more smoothly. I've been ...Full ReviewToo many bugs and glitches... I'll get notification on top of notifications of things that were already notified (repeatedly) as well as something wont load or facebook will suddenly crash. Also messenger has been glitchy many times. Without these errors.. it could run much more smoothly. I've been on fb for years and its come to the point where it's now exhausting at times... to have too many glitches constantly. Just will crash randomly.
